提示	ていじ	presentation (of a passport, ID, etc.), showing, production (e.g. of documents), presentation (of a plan, response, etc.), bringing up, citing (an example)	n1|noun|taking する|transitive verb	
提言	ていげん	proposal, motion, recommendation	noun|taking する|transitive verb	
提訴	ていそ	presenting a case, suing	noun|taking する|transitive verb	
提起	ていき	raising (a question), posing (a problem), bringing up (an issue), presenting, instituting (a lawsuit), lodging, filing (a claim), submitting (a case), lifting up	noun|taking する|transitive verb	
揚げ	あげ	frying, fried food, aburaage, thin deep-fried slices of tofu	noun	
揚力	ようりょく	dynamic lift, lifting power	noun	
換気	かんき	ventilation	intransitive verb|n2|noun|taking する|transitive verb	
換算	かんさん	conversion (e.g. yen to dollars), change, exchange, translation (numerical)	n1|noun|taking する|transitive verb	
換金	かんきん	realization (of goods into money), conversion (into money), liquidation	noun|taking する|transitive verb	
握り	にぎり	grasping, gripping, grasp, grip, clutch, handful, fistful, handle, grip, knob, rice ball, nigirizushi, hand-formed sushi with a topping of seafood, etc., method to determine player colors	noun	
握る	にぎる	to clasp, to grasp, to grip, to clutch, to hold (the answer), to have (e.g. the solution), to be the key, to be the reason, to seize (power), to hold (the reins), to dominate, to control, to make (nigirizushi, rice ball, etc.), to form (with ones hands), to press into shape, to mold, to mould	godan verb|n3|transitive verb	
握力	あくりょく	grip (of hand), grip strength	noun	
握手	あくしゅ	handshake, reconciliation, joining hands, cooperation	intransitive verb|n3|noun|taking する|transitive verb	
揮毫	きごう	writing (esp. commissioned calligraphy), drawing, painting	noun|taking する|transitive verb	
揮発	きはつ	volatilization, volatilisation	intransitive verb|noun|taking する|transitive verb	
援助	えんじょ	assistance, aid, support	n3|noun|taking する|transitive verb	
援用	えんよう	quotation (to support ones argument), citation (e.g. of a precedent), invocation, claim	noun|taking する|transitive verb	
援護	えんご	support, help, backing, covering (from enemy attack), protection	noun|taking する|transitive verb	
援軍	えんぐん	reinforcement	noun	
揶揄	やゆ	banter, raillery, ridicule, teasing, making fun of	noun|taking する|transitive verb	
揺る	ゆる	to shake, to jolt, to rock (cradle), to swing	godan verb|transitive verb	
損じ	そんじ	slip, error, failure	noun	
損傷	そんしょう	damage, injury	intransitive verb|noun|taking する|transitive verb	
損壊	そんかい	damage, destruction	intransitive verb|noun|taking する|transitive verb	
損失	そんしつ	loss (of assets, profit, etc.)	n1|noun	
損害	そんがい	damage, injury, loss	n3|noun|taking する	
損得	そんとく	loss and gain, advantage and disadvantage	n2|noun	
損益	そんえき	profit and loss, advantage and disadvantage	noun	
損金	そんきん	financial loss	noun	
搬入	はんにゅう	carrying in (esp. heavy objects, artwork, furniture), bringing in, taking in	noun|taking する|transitive verb	
搬出	はんしゅつ	carrying out (esp. heavy objects, artwork, furniture), taking out	noun|taking する|transitive verb	
搬送	はんそう	transportation, conveyance, delivery, hospitalization, transfer to hospital	noun|taking する|transitive verb	
搭乗	とうじょう	embarkation, boarding (a ship or aircraft)	intransitive verb|noun|taking する|transitive verb	
搭載	とうさい	loading (on a ship), equipping (an aircraft, car, etc.) with, being equipped with	noun|taking する|transitive verb	
携帯	けいたい	carrying (on ones person or in the hand), mobile phone, cell phone	kana|n1|noun|taking する|transitive verb	
携行	けいこう	carrying (on ones person), taking with one	noun|taking する|transitive verb	
搾乳	さくにゅう	milking (a cow, goat, etc.), breast pumping, milk expression	intransitive verb|noun|taking する|transitive verb	
搾取	さくしゅ	exploitation, bleeding dry, squeezing dry, milking (e.g. a cows teat), extracting (a liquid) through squeezing	noun|taking する|transitive verb	
摂る	とる	to have (e.g. lunch), to take (e.g. vitamins)	godan verb|kana|transitive verb	
摂取	せっしゅ	intake (e.g. of salt), ingestion, absorption (e.g. of new knowledge), adoption (e.g. of foreign culture), assimilation, reception and protection	noun|taking する|transitive verb	
摂氏	せっし	Celsius, centigrade	noun	
摂理	せつり	laws (of nature), (divine) providence	noun	
摘み	つまみ	knob, handle, button, snack (to have with a drink), side dish, a pinch (e.g. of salt), (file) handle, picking, harvesting	computing|kana|noun|suffix	
摘む	つまむ	to pinch, to hold (between ones fingers), to pick up (with chopsticks, tweezers, etc.), to pick up and eat, to snack on, to pick out (the main point), to summarize, to sum up, to bewitch, to possess, to fascinate	godan verb|kana|n1|transitive verb	
摘む	つむ	to pick, to pluck, to snip, to cut, to nip, to trim	godan verb|transitive verb	
摘出	てきしゅつ	picking out, taking out, (surgical) removal, exposure	noun|taking する|transitive verb	
摘発	てきはつ	exposing, unmasking, laying bare	noun|taking する|transitive verb	
摩る	さする	to rub, to pat, to stroke, to massage	godan verb|kana|transitive verb	
摩擦	まさつ	friction, rubbing, chafing, discord, friction, strife, conflict	intransitive verb|n2|noun|taking する|transitive verb	
摩耗	まもう	wear, abrasion	intransitive verb|noun|taking する|transitive verb	
撃つ	うつ	to shoot (a gun, person, etc.), to fire	godan verb|transitive verb	
撃墜	げきつい	shooting down (aircraft)	noun|taking する|transitive verb	
撃沈	げきちん	(attacking and) sinking (a ship), sending (a ship) to the bottom	noun|taking する|transitive verb	
撃破	げきは	crushing	noun|taking する|transitive verb	
撃退	げきたい	repulse, repelling (e.g. the enemy), driving back	noun|taking する|transitive verb	
撒く	まく	to scatter, to sprinkle, to strew, to distribute (handbills, etc.), to spread (rumours, etc.), to give the slip, to throw off, to shake off, to lose	godan verb|kana|n2|transitive verb	
撚糸	ねんし	twisted thread or yarn, twining of thread or yarn	noun	
撤兵	てっぺい	withdrawal of troops	intransitive verb|noun|taking する|transitive verb	
撤去	てっきょ	removal, taking away, dismantling (a building, facilities, etc.), withdrawal (of troops)	noun|taking する|transitive verb	
撤収	てっしゅう	removal (of a building, equipment, etc.), dismantling (e.g. a tent), striking (a stage set, camp, etc.), withdrawal (of troops), pulling out, evacuation, retreat	intransitive verb|noun|taking する|transitive verb	
撤回	てっかい	withdrawal, retraction, revocation, repeal	adjective|noun|taking する|taking の|transitive verb	
撤廃	てっぱい	annulment, abolition, repeal, rescission	noun|taking する|transitive verb	
撤退	てったい	evacuation, withdrawal, revocation, repeal, retreat	intransitive verb|noun|taking する|transitive verb	
撮る	とる	to take (a photograph), to record (audio or video), to film, to shoot	godan verb|n5|transitive verb	
撮影	さつえい	photography (still or motion), photographing, filming, shooting, (video) recording	n2|noun|taking する|transitive verb	
撲滅	ぼくめつ	eradication, extermination, destruction, suppression	noun|taking する|transitive verb	
擁立	ようりつ	backing (for a position), giving support to, helping (someone) to a position	noun|taking する|transitive verb	
擁護	ようご	protection, defence, support, safeguarding, championship, vindication	noun|taking する|transitive verb	
操り	あやつり	manipulation, puppet	noun	
操る	あやつる	to operate (e.g. a machine), to handle, to manage, to control, to maneuver, to steer, to have a good command of (a language), to play proficiently (of a musical instrument), to work (a puppet), to pull the strings of a puppet, to manipulate (a person, public opinion, etc.), to pull the strings, to control from the shadows, to mastermind	godan verb|n1|transitive verb	
操作	そうさ	operation, management, handling, manipulating (to ones benefit), manipulation, influencing	n3|noun|taking する|transitive verb	
操業	そうぎょう	operation (of a machine, factory, fishing boat, etc.), work	intransitive verb|noun|taking する|transitive verb	
操縦	そうじゅう	steering, piloting, flying, control, operation, handling, management (of people), handling, manipulation, maneuvering	n1|noun|taking する|transitive verb	
操車	そうしゃ	operation (of trains)	intransitive verb|noun|taking する|transitive verb	
擤む	かむ	to blow (ones nose)	godan verb|kana|transitive verb	
擦る	こする	to rub, to scrub, to scrape	godan verb|kana|n2|transitive verb	
擦る	する	to rub, to chafe, to strike (match), to file, to frost (glass), to lose (e.g. a match), to forfeit, to squander ones money (e.g. through gambling, Pachinko, etc.)	godan verb|transitive verb	
擽る	くすぐる	to tickle, to tickle (ones curiosity, vanity, etc.), to arouse, to appeal to, to flatter, to make (someone) laugh, to amuse, to entertain	godan verb|kana|transitive verb	
攘夷	じょうい	expulsion of foreigners	noun	
支出	ししゅつ	expenditure, disbursement, expenses	n3|noun|taking する|transitive verb	
支局	しきょく	branch office	noun	
支庁	しちょう	(governmental) branch office, subprefecture	noun	
支店	してん	branch office, branch store	n3|noun	
支度	したく	preparation, arrangements	n3|noun|taking する|transitive verb	
支所	ししょ	branch (office)	noun	
支持	しじ	support, backing, endorsement, approval, propping up, holding up, support	n1|noun|taking する|transitive verb	
支援	しえん	support, backing, aid, assistance	noun|taking する|transitive verb	
支柱	しちゅう	prop, stay, support, brace, fulcrum	noun	
支流	しりゅう	tributary, branch	noun	
支社	ししゃ	branch office	noun	
支給	しきゅう	provision, supply, payment, allowance, grant	n3|noun|taking する|transitive verb	
